,Movie,Year,Score,Adjusted Score,Director,Cast,Consensus,sentiments,Box Office Collection,Imdb_genre,IMDB Rating,metascore,time_minute,Votes
10,Barbershop,2002,83,85.974,Tim Story,"Ice Cube, Anthony Anderson, Cedric the Entertainer, Sean Patrick Thomas",A smart comedy about a day in the life of a barbershop on the south side of Chicago. Calvin (Ice...,positive,77063461.0,Comedy,6.3,66.0,102.0,31217.0
11,Dazed and Confused,1993,92,95.802,Richard Linklater,"Jason London, Wiley Wiggins, Sasha Jenson, Rory Cochrane","This coming-of-age film follows the mayhem of group of rowdy teenagers in Austin, Texas, celebrating the last day of high...",positive,7961889.0,Comedy,7.6,78.0,103.0,179851.0
12,Ace Ventura: Pet Detective,1994,49,52.582,Tom Shadyac,"Jim Carrey, Courteney Cox, Sean Young, Tone Loc","When the dolphin mascot of Miami's NFL team is abducted, Ace Ventura (Jim Carrey), a zany private investigator who specializes...",negative,107217396.0,Comedy,6.9,37.0,86.0,296069.0
13,Idiocracy,2006,73,73.493,Mike Judge,"Luke Wilson, Maya Rudolph, Dax Shepard, Terry Crews","In 2005, average in every way private Joe Bowers (Luke Wilson) is selected to take part in a secret military...",positive,500296.0,Comedy,6.5,66.0,84.0,159456.0
14,Team America: World Police,2004,77,84.02,Trey Parker,"Trey Parker, Matt Stone, Kristen Miller, Masasa","When North Korean ruler Kim Jong-il (Trey Parker) orchestrates a global terrorist plot, it's up to the heavily armed marionettes...",positive,50948811.0,Comedy,7.2,64.0,98.0,167709.0
15,Trainwreck,2015,84,95.283,Judd Apatow,"Amy Schumer, Bill Hader, Brie Larson, Colin Quinn","Ever since her father drilled into her head that monogamy isn't realistic, magazine writer Amy (Amy Schumer) has made promiscuity...",positive,141123897.0,Comedy,6.2,75.0,125.0,136145.0
16,Tommy Boy,1995,41,42.391,Peter Segal,"Chris Farley, David Spade, Brian Dennehy, Bo Derek","After his beloved father (Brian Dennehy) dies, dimwitted Tommy Callahan (Chris Farley) inherits a near-bankrupt automobile parts factory in Sandusky,...",negative,32648673.0,Comedy,7.1,46.0,97.0,85969.0
17,Life,1999,50,51.81,Ted Demme,"Eddie Murphy, Martin Lawrence, Obba Babatundé, Ned Beatty","During Prohibition, loudmouth Harlem grifter Ray (Eddie Murphy) and the no-nonsense Claude (Martin Lawrence) team up on a bootlegging mission...",negative,101815660.0,Comedy,6.7,63.0,108.0,49950.0
18,Zoolander,2001,65,69.463,Ben Stiller,"Ben Stiller, Owen Wilson, Will Ferrell, Christine Taylor","Propelled to the top of the fashion world by a photogenic gaze he calls ""Blue Steel,"" dimwitted male model Derek...",negative,60780981.0,Comedy,6.5,61.0,90.0,261336.0
19,Super Troopers,2001,36,37.554,Jay Chandrasekhar,"Jay Chandrasekhar, Kevin Heffernan, Steve Lemme, Paul Soter","Always looking for action, five over-enthusiastic but under-stimulated Vermont State Troopers raise hell on the highway, keeping motorists anxiously looking...",positive,23182223.0,Comedy,7.0,48.0,100.0,103764.0
20,Happy Gilmore,1996,61,63.827,Dennis Dugan,"Adam Sandler, Christopher McDonald, Julie Bowen, Frances Bay",All Happy Gilmore (Adam Sandler) has ever wanted is to be a professional hockey player. But he soon discovers he...,positive,41004412.0,Comedy,7.0,31.0,92.0,218210.0
21,21 Jump Street,2012,85,94.102,Phil Lord,"Jonah Hill, Channing Tatum, Brie Larson, Dave Franco","When cops Schmidt (Jonah Hill) and Jenko (Channing Tatum) join the secret Jump Street unit, they use their youthful appearances...",positive,202812429.0,Comedy,7.2,69.0,109.0,546265.0
22,Broadcast News,1987,98,101.798,James L. Brooks,"William Hurt, Albert Brooks, Holly Hunter, Robert Prosky",Intelligent satire of American television news. A highly strung news producer finds herself strangely attracted to a vapid anchorman even...,negative,67331309.0,Comedy,7.2,84.0,133.0,30773.0
23,In the Loop,2009,94,100.04,Armando Iannucci,"Peter Capaldi, Tom Hollander, Gina McKee, James Gandolfini","During an interview, British Cabinet Minister Simon Foster (Tom Hollander) delivers an off-the-cuff remark that war in the Middle East...",positive,7788804.0,Comedy,7.4,83.0,106.0,57508.0
24,Crazy Rich Asians,2018,91,112.982,Jon M. Chu,"Constance Wu, Henry Golding, Michelle Yeoh, Gemma Chan","Rachel Chu is happy to accompany her longtime boyfriend, Nick, to his best friend's wedding in Singapore. She's also surprised...",positive,238099711.0,Comedy,6.9,74.0,120.0,166390.0
25,Shaolin Soccer,2001,90,93.263,Stephen Chow,"Stephen Chow, Zhao Wei, Patrick Tse, Cecilia Cheung","All his life, an ordinary young man (Stephen Chow) has been treated like dirt. Still, he's never given up believing...",positive,42776032.0,Comedy,7.3,68.0,87.0,79340.0
26,The Grand Budapest Hotel,2014,92,104.957,Wes Anderson,"Ralph Fiennes, F. Murray Abraham, Mathieu Amalric, Adrien Brody","In the 1930s, the Grand Budapest Hotel is a popular European ski resort, presided over by concierge Gustave H. (Ralph...",positive,163503514.0,Comedy,8.1,88.0,99.0,780952.0
27,In Bruges,2008,84,91.466,Martin McDonagh,"Colin Farrell, Brendan Gleeson, Ralph Fiennes, Ciarán Hinds","After a particularly difficult job, hit men Ray (Colin Farrell) and Ken (Brendan Gleeson) head to Belgium to hide out...",positive,34533783.0,Comedy,7.9,67.0,107.0,413975.0
28,American Pie,1999,61,65.422,Paul Weitz,"Jason Biggs, Shannon Elizabeth, Alyson Hannigan, Chris Klein","A riotous and raunchy exploration of the most eagerly anticipated -- and most humiliating -- rite of adulthood, known as...",positive,234723148.0,Comedy,7.0,58.0,95.0,399405.0
29,Burn After Reading,2008,78,87.727,Joel Coen,"George Clooney, Frances McDormand, John Malkovich, Tilda Swinton",When a disc containing memoirs of a former CIA analyst (John Malkovich) falls into the hands of Linda Litzke (Frances...,negative,168167798.0,Comedy,7.0,63.0,96.0,327870.0
30,Legally Blonde,2001,71,75.876,Robert Luketic,"Reese Witherspoon, Luke Wilson, Selma Blair, Matthew Davis",Elle Woods (Reese Witherspoon) has it all. She wants nothing more than to be Mrs. Warner Huntington III. But there...,negative,141809235.0,Comedy,6.4,59.0,96.0,210717.0
31,Pride,2014,92,98.335,Matthew Warchus,"Bill Nighy, Imelda Staunton, Dominic West, Paddy Considine","Realizing that they share common foes in Margaret Thatcher, the police and the conservative press, London-based gays and lesbians lend...",negative,7285099.0,Comedy,7.8,79.0,119.0,55695.0
32,Beetlejuice,1988,85,89.061,Tim Burton,"Michael Keaton, Alec Baldwin, Geena Davis, Jeffrey Jones","After Barbara (Geena Davis) and Adam Maitland (Alec Baldwin) die in a car accident, they find themselves stuck haunting their...",negative,74837061.0,Comedy,7.5,70.0,92.0,291334.0
33,The Birdcage,1996,82,83.897,Mike Nichols,"Robin Williams, Gene Hackman, Nathan Lane, Dianne Wiest","In this remake of the classic French farce ""La Cage aux Folles,"" engaged couple Val Goldman (Dan Futterman) and Barbara...",negative,181760553.0,Comedy,7.1,72.0,117.0,88134.0
34,City Slickers,1991,91,92.68,Ron Underwood,"Billy Crystal, Daniel Stern, Bruno Kirby, Patricia Wettig","Every year, three friends take a vacation away from their wives. This year, henpecked Phil (Daniel Stern), newly married Ed...",positive,124033872.0,Comedy,6.8,70.0,113.0,55915.0
35,Stripes,1981,88,89.753,Ivan Reitman,"Bill Murray, Harold Ramis, Warren Oates, P.J. Soles",Hard-luck cabbie John Winger (Bill Murray) -- directionless after being fired from his job and dumped by his girlfriend --...,negative,85300000.0,Comedy,6.8,68.0,106.0,73041.0
36,Bridget Jones's Diary,2001,80,85.426,Sharon Maguire,"Renée Zellweger, Colin Firth, Hugh Grant, Gemma Jones","At the start of the New Year, 32-year-old Bridget (Renée Zellweger) decides it's time to take control of her life...",negative,277902373.0,Comedy,6.7,66.0,97.0,240519.0
37,Moonstruck,1987,94,98.953,Norman Jewison,"Cher, Nicolas Cage, Vincent Gardenia, Olympia Dukakis","No sooner does Italian-American widow Loretta (Cher) accept a marriage proposal from her doltish boyfriend, Johnny (Danny Aiello), than she...",negative,80642215.0,Comedy,7.1,83.0,102.0,58591.0
38,The In-Laws,1979,88,87.113,Arthur Hiller,"Peter Falk, Alan Arkin, Richard Libertini, Nancy Dussault","Mild-mannered dentist Sheldon Kornpett (Alan Arkin) is uncomfortable with his daughter's marriage after meeting her future father-in-law, Vincent Ricardo (Peter...",positive,38200000.0,Thriller,5.7,46.0,98.0,17065.0
39,The Ladykillers,1955,100,102.573,Alexander Mackendrick,"Alec Guinness, Katie Johnson, Cecil Parker, Herbert Lom","Mrs. Wilberforce (Katie Johnson) likes to report suspicious behavior to the police. Unaware of her reputation, the dapper thief Professor...",positive,77392139.0,Comedy,6.2,56.0,104.0,104076.0
40,A League of Their Own,1992,80,86.312,Penny Marshall,"Tom Hanks, Geena Davis, Madonna, Lori Petty","As America's stock of athletic young men is depleted during World War II, a professional all-female baseball league springs up...",negative,132440066.0,Comedy,7.3,69.0,128.0,104402.0
41,Dirty Rotten Scoundrels,1988,88,88.97,Frank Oz,"Steve Martin, Michael Caine, Glenne Headly, Anton Rodgers","Con artist Lawrence Jamieson (Michael Caine) is a longtime resident of a luxurious coastal resort, where he enjoys the fruits...",positive,42039000.0,Comedy,7.4,68.0,110.0,70935.0
42,Harold & Kumar Go to White Castle,2004,74,78.855,Danny Leiner,"John Cho, Kal Penn, Paula Garcés, Neil Patrick Harris","Nerdy accountant Harold (John Cho) and his irrepressible friend, Kumar (Kal Penn), get stoned watching television and find themselves utterly...",positive,19474552.0,Comedy,7.0,64.0,88.0,193385.0
43,Napoleon Dynamite,2004,72,78.005,Jared Hess,"Jon Heder, Jon Gries, Aaron Ruell, Efren Ramirez","In small-town Preston, Idaho, awkward teen Napoleon Dynamite (Jon Heder) has trouble fitting in. After his grandmother is injured in...",positive,46122713.0,Comedy,6.9,64.0,96.0,214690.0
44,Arthur,1981,88,88.64,Steve Gordon,"Dudley Moore, John Gielgud, Liza Minnelli, Geraldine Fitzgerald",Wealthy New York City playboy Arthur Bach (Dudley Moore) is perpetually drunk and completely rudderless. Dutifully supported by his sharp-tongued...,negative,81464486.0,Comedy,6.9,69.0,97.0,28435.0
45,Tootsie,1982,90,93.872,Sydney Pollack,"Dustin Hoffman, Jessica Lange, Teri Garr, Dabney Coleman",New York actor Michael Dorsey (Dustin Hoffman) is a talented perfectionist who is so hard on himself and others that...,positive,177200000.0,Comedy,7.4,88.0,116.0,105219.0
46,Best in Show,2000,93,96.976,Christopher Guest,"Michael Hitchcock, Parker Posey, Eugene Levy, Catherine O'Hara","The tension is palpable, the excitement is mounting and the heady scent of competition is in the air as hundreds...",positive,20695413.0,Comedy,7.4,78.0,90.0,61435.0
47,Mean Girls,2004,84,91.695,Mark Waters,"Lindsay Lohan, Rachel McAdams, Tina Fey, Tim Meadows",Teenage Cady Heron (Lindsay Lohan) was educated in Africa by her scientist parents. When her family moves to the suburbs...,negative,130714469.0,Comedy,7.1,66.0,97.0,370627.0
48,Spaceballs,1987,56,57.98,Mel Brooks,"Mel Brooks, John Candy, Rick Moranis, Bill Pullman","In a distant galaxy, planet Spaceball has depleted its air supply, leaving its citizens reliant on a product called ""Perri-Air.""...",negative,38119483.0,Comedy,7.1,46.0,96.0,186965.0
49,Sister Act,1992,74,75.631,Emile Ardolino,"Whoopi Goldberg, Maggie Smith, Kathy Najimy, Wendy Makkena","When lively lounge singer Deloris Van Cartier (Whoopi Goldberg) sees her mobster beau, Vince LaRocca (Harvey Keitel), commit murder, she...",positive,231600000.0,Comedy,6.4,51.0,100.0,97192.0
50,Step Brothers,2008,55,62.56,Adam McKay,"Will Ferrell, John C. Reilly, Richard Jenkins, Mary Steenburgen","Brennan Huff (Will Ferrell) and Dale Doback (John C. Reilly) have one thing in common: they are both lazy, unemployed...",negative,128107642.0,Comedy,6.9,51.0,98.0,289209.0
51,UHF,1989,61,61.146,Jay Levey,"Weird Al Yankovic, Victoria Jackson, Kevin McCarthy, Michael Richards","After losing yet another job, George (Weird Al Yankovic) wonders if there is any career that can handle his outrageous...",negative,6157157.0,Comedy,6.9,32.0,97.0,28331.0
52,Galaxy Quest,1999,90,94.322,Dean Parisot,"Tim Allen, Sigourney Weaver, Alan Rickman, Tony Shalhoub",The stars of a 1970s sci-fi show - now scraping a living through re-runs and sci-fi conventions - are beamed...,positive,90523726.0,Comedy,7.4,70.0,102.0,161658.0
53,Meet the Parents,2000,84,89.348,Jay Roach,"Robert De Niro, Ben Stiller, Blythe Danner, Teri Polo",Everything that can possibly go wrong for groom-to-be Greg Focker (Ben Stiller) does. The problems begin with Greg's disastrous first...,negative,330425040.0,Comedy,7.0,73.0,108.0,329672.0
54,Girls Trip,2017,92,104.212,Malcolm D. Lee,"Regina Hall, Queen Latifah, Jada Pinkett Smith, Tiffany Haddish","Best friends Ryan, Sasha, Lisa and Dina are in for the adventure of a lifetime when they travel to New...",positive,140886353.0,Comedy,6.2,71.0,122.0,37261.0
55,Being There,1979,95,99.92,Hal Ashby,"Peter Sellers, Shirley MacLaine, Jack Warden, Melvyn Douglas","Simple-minded Chance (Peter Sellers), a gardener who has resided in the Washington, D.C., townhouse of his wealthy employer for his...",positive,30177511.0,Comedy,8.0,83.0,130.0,71670.0
56,Wayne's World,1992,79,86.26,Penelope Spheeris,"Mike Myers, Dana Carvey, Rob Lowe, Tia Carrere","A big screen spin-off of the ""Saturday Night Live"" skit. Rob Lowe plays a producer that wants to take the...",positive,183097323.0,Comedy,7.0,57.0,94.0,154812.0
57,Fast Times at Ridgemont High,1982,78,82.258,Amy Heckerling,"Sean Penn, Jennifer Jason Leigh, Judge Reinhold, Robert Romanus","Stacy Hamilton (Jennifer Jason Leigh) is a pretty, but inexperienced, teen interested in dating. Given advice by her uninhibited friend,...",negative,27093116.0,Comedy,7.1,61.0,90.0,103415.0
58,Kung Fu Hustle,2004,90,98.117,Stephen Chow,"Stephen Chow, Yuen Wah, Yuen Qiu, Siu-Lung Leung","When the hapless Sing (Stephen Chow) and his dim-witted pal, Bone (Feng Xiaogang), try to scam the residents of Pig...",negative,102034104.0,Comedy,7.7,78.0,99.0,136958.0
59,Booksmart,2019,96,120.146,Olivia Wilde,"Kaitlyn Dever, Beanie Feldstein, Jessica Williams, Jason Sudeikis",Academic overachievers Amy and Molly thought keeping their noses to the grindstone gave them a leg up on their high...,positive,24949770.0,Comedy,7.1,84.0,102.0,113803.0
60,Heathers,1989,93,96.224,Michael Lehmann,"Winona Ryder, Christian Slater, Shannen Doherty, Lisanne Falk","Veronica (Winona Ryder) is part of the most popular clique at her high school, but she disapproves of the other...",positive,982614.0,Comedy,7.2,72.0,103.0,100966.0
61,Beverly Hills Cop,1984,83,86.665,Martin Brest,"Eddie Murphy, Judge Reinhold, John Ashton, Lisa Eilbacher","After his childhood buddy is murdered while visiting Detroit, rebellious cop Axel Foley (Eddie Murphy) follows the leads to Beverly...",positive,316300000.0,Comedy,7.3,66.0,105.0,180171.0
62,Office Space,1999,80,84.117,Mike Judge,"Ron Livingston, Jennifer Aniston, David Herman, Ajay Naidu","Corporate drone Peter Gibbons (Ron Livingston) hates his soul-killing job at software company Initech. While undergoing hypnotherapy, Peter is left...",negative,12179708.0,Comedy,7.7,68.0,89.0,260935.0
63,Four Weddings and a Funeral,1994,96,99.335,Mike Newell,"Hugh Grant, Andie MacDowell, Kristin Scott Thomas, Simon Callow",Lovable Englishman Charles (Hugh Grant) and his group of friends seem to be unlucky in love. When Charles meets a...,positive,242895809.0,Comedy,7.1,81.0,117.0,150518.0
64,The Graduate,1967,87,93.543,Mike Nichols,"Dustin Hoffman, Anne Bancroft, Katharine Ross, William Daniels","Benjamin Braddock (Dustin Hoffman) has just finished college and, back at his parents' house, he's trying to avoid the one...",negative,104466833.0,Comedy,8.0,83.0,106.0,269391.0
65,There's Something About Mary,1998,83,87.046,Bobby Farrelly,"Cameron Diaz, Matt Dillon, Ben Stiller, Lee Evans",Ted's (Ben Stiller) dream prom date with Mary (Cameron Diaz) never happens due to an embarrassing injury at her home....,negative,369884651.0,Comedy,7.1,69.0,119.0,307173.0
66,Friday,1995,75,76.158,F. Gary Gray,"Ice Cube, Chris Tucker, Nia Long, Tiny Lister Jr.","It's Friday and Craig Jones (Ice Cube) has just gotten fired for stealing cardboard boxes. To make matters worse, rent...",negative,27936778.0,Comedy,7.2,54.0,91.0,110949.0
67,Superbad,2007,87,96.295,Greg Mottola,"Jonah Hill, Michael Cera, Christopher Mintz-Plasse, Bill Hader",High school seniors Seth and Evan have high hopes for a graduation party. The co-dependent teens plan to score booze...,positive,169955142.0,Comedy,7.6,76.0,113.0,562995.0
68,Hot Fuzz,2007,91,100.046,Edgar Wright,"Simon Pegg, Nick Frost, Jim Broadbent, Paddy Considine","As a former London constable, Nicholas Angel (Simon Pegg) finds if difficult to adapt to his new assignment in the...",positive,80976736.0,Comedy,7.8,81.0,121.0,496028.0
69,The Hangover,2009,79,88.399,Todd Phillips,"Bradley Cooper, Ed Helms, Zach Galifianakis, Justin Bartha","Two days before his wedding, Doug (Justin Bartha) and three friends (Bradley Cooper, Ed Helms, Zach Galifianakis) drive to Las...",positive,465487583.0,Comedy,7.7,73.0,100.0,767307.0
70,Elf,2003,85,91.239,Jon Favreau,"Will Ferrell, James Caan, Bob Newhart, Edward Asner",Buddy (Will Ferrell) was accidentally transported to the North Pole as a toddler and raised to adulthood among Santa's elves....,positive,222344688.0,Comedy,7.0,64.0,97.0,261075.0
71,A Fish Called Wanda,1988,96,99.551,Charles Crichton,"John Cleese, Jamie Lee Curtis, Kevin Kline, Michael Palin","British gangster George Thomason (Tom Georgeson) and his hapless aide, Ken Pile (Michael Palin), draft a pair of arrogant Americans,...",negative,63493000.0,Comedy,7.5,80.0,108.0,140828.0
72,Anchorman: The Legend of Ron Burgundy,2004,66,74.247,Adam McKay,"Will Ferrell, Christina Applegate, Paul Rudd, Steve Carell",Hotshot television anchorman Ron Burgundy (Will Ferrell) welcomes upstart reporter Veronica Corningstone (Christina Applegate) into the male-dominated world of 1970s...,negative,89476265.0,Comedy,7.1,63.0,94.0,349853.0
73,Ghostbusters,1984,97,102.479,Ivan Reitman,"Bill Murray, Dan Aykroyd, Harold Ramis, Sigourney Weaver","After the members of a team of scientists (Harold Ramis, Dan Aykroyd, Bill Murray) lose their cushy positions at a...",negative,295596327.0,Comedy,7.8,71.0,105.0,404550.0
74,The Producers,1968,90,98.082,Mel Brooks,"Zero Mostel, Gene Wilder, Dick Shawn, Kenneth Mars","Down and out producer Max Bialystock (Zero Mostel), who was once the toast of Broadway, trades sexual favors with old...",negative,160755.0,Comedy,7.5,96.0,88.0,55484.0
75,Clerks,1994,90,92.356,Kevin Smith,"Brian O'Halloran, Jeff Anderson, Marilyn Ghigliotti, Lisa Spoonhauer",Dante (Brian O'Halloran) is called in to cover a shift at his New Jersey convenience store on his day off....,positive,3894240.0,Comedy,7.7,70.0,92.0,219811.0
76,Caddyshack,1980,73,77.003,Harold Ramis,"Chevy Chase, Rodney Dangerfield, Bill Murray, Ted Knight","Danny Noonan (Michael O'Keefe), a teen down on his luck, works as a caddy at the snob-infested Bushwood Country Club...",negative,39849764.0,Comedy,7.2,48.0,98.0,115872.0
77,Raising Arizona,1987,90,94.509,Joel Coen,"Nicolas Cage, Holly Hunter, Trey Wilson, John Goodman","An ex-con and an ex-cop meet, marry and long for a child of their own. When it is discovered that...",positive,22847660.0,Comedy,7.3,69.0,94.0,137092.0
78,Clueless,1995,81,89.102,Amy Heckerling,"Alicia Silverstone, Stacey Dash, Brittany Murphy, Paul Rudd","Shallow, rich and socially successful Cher (Alicia Silverstone) is at the top of her Beverly Hills high school's pecking scale....",negative,57956568.0,Comedy,6.9,68.0,97.0,208750.0
79,Annie Hall,1977,97,104.913,Woody Allen,"Woody Allen, Diane Keaton, Tony Roberts, Carol Kane",Comedian Alvy Singer (Woody Allen) examines the rise and fall of his relationship with struggling nightclub singer Annie Hall (Diane...,negative,38251425.0,Comedy,8.0,92.0,93.0,262656.0
80,Trading Places,1983,88,89.013,John Landis,"Dan Aykroyd, Eddie Murphy, Ralph Bellamy, Don Ameche",Upper-crust executive Louis Winthorpe III (Dan Aykroyd) and down-and-out hustler Billy Ray Valentine (Eddie Murphy) are the subjects of a...,negative,90400000.0,Comedy,7.5,69.0,116.0,149327.0
81,Bridesmaids,2011,90,101.285,Paul Feig,"Kristen Wiig, Maya Rudolph, Rose Byrne, Ellie Kemper","Annie (Kristen Wiig) is a single woman whose own life is a mess, but when she learns that her lifelong...",positive,289632023.0,Comedy,6.8,75.0,125.0,287729.0
82,Young Frankenstein,1974,94,100.958,Mel Brooks,"Gene Wilder, Peter Boyle, Cloris Leachman, Marty Feldman",Respected medical lecturer Dr. Frederick Frankenstein (Gene Wilder) learns that he has inherited his infamous grandfather's estate in Transylvania. Arriving...,negative,86300489.0,Comedy,8.0,80.0,106.0,155685.0
83,Shaun of the Dead,2004,92,99.891,Edgar Wright,"Simon Pegg, Kate Ashfield, Lucy Davis, Nick Frost","Shaun (Simon Pegg) is a 30-something loser with a dull, easy existence. When he's not working at the electronics store,...",negative,29832586.0,Comedy,7.9,76.0,99.0,546339.0
84,The Blues Brothers,1980,73,81.055,John Landis,"John Belushi, Dan Aykroyd, James Brown, Cab Calloway","After his release from prison, Jake (John Belushi) reunites with his brother, Elwood (Dan Aykroyd) -- collectively known as the...",positive,57245093.0,Comedy,7.9,60.0,133.0,195834.0
85,Coming to America,1988,73,75.49,John Landis,"Eddie Murphy, Arsenio Hall, John Amos, James Earl Jones","Prince Akeem (Eddie Murphy) is the prince of a wealthy African country and wants for nothing, except a wife who...",negative,288800000.0,Comedy,7.1,47.0,117.0,204785.0
86,Life of Brian,1979,95,100.491,Terry Jones,"Graham Chapman, John Cleese, Terry Gilliam, Terry Jones","Brian Cohen (Graham Chapman) is an average young Jewish man, but through a series of ridiculous events, he gains a...",negative,20522496.0,Comedy,8.0,77.0,94.0,392874.0
87,The Jerk,1979,83,86.144,Carl Reiner,"Steve Martin, Bernadette Peters, Catlin Adams, Mabel King","Navin (Steve Martin) believes he was born a poor black child in Mississippi. He is, however, actually white. Upon figuring...",negative,73691419.0,Comedy,7.1,61.0,94.0,57511.0
88,National Lampoon's Animal House,1978,90,95.073,John Landis,"John Belushi, Kevin Bacon, Donald Sutherland, Karen Allen","When they arrive at college, socially inept freshmen Larry (Thomas Hulce) and Kent (Stephen Furst) attempt to pledge the snooty...",negative,141600000.0,Comedy,7.4,79.0,109.0,119507.0
89,Blazing Saddles,1974,89,93.934,Mel Brooks,"Cleavon Little, Gene Wilder, Madeline Kahn, Slim Pickens","In this satirical take on Westerns, crafty railroad worker Bart (Cleavon Little) becomes the first black sheriff of Rock Ridge,...",positive,119500000.0,Comedy,7.7,73.0,93.0,136668.0
90,Modern Times,1936,98,117.153,Charlie Chaplin,"Charlie Chaplin, Paulette Goddard, Henry Bergman, Tiny Sandford",This comedic masterpiece finds the iconic Little Tramp (Charlie Chaplin) employed at a state-of-the-art factory where the inescapable machinery completely...,positive,227291.0,Comedy,8.5,96.0,87.0,237256.0
91,The Apartment,1960,94,105.693,Billy Wilder,"Jack Lemmon, Shirley MacLaine, Fred MacMurray, Ray Walston",Insurance worker C.C. Baxter (Jack Lemmon) lends his Upper West Side apartment to company bosses to use for extramarital affairs....,negative,24600000.0,Comedy,8.3,94.0,125.0,178190.0
92,Groundhog Day,1993,97,103.177,Harold Ramis,"Bill Murray, Andie MacDowell, Chris Elliott, Stephen Tobolowsky","Phil (Bill Murray), a weatherman, is out to cover the annual emergence of the groundhog from its hole. He gets...",negative,71112677.0,Comedy,8.1,72.0,101.0,614695.0
93,The Princess Bride,1987,97,103.019,Rob Reiner,"Cary Elwes, Robin Wright, Mandy Patinkin, Chris Sarandon",A fairy tale adventure about a beautiful young woman and her one true love. He must find her after a...,positive,31046322.0,Adventure,8.0,77.0,98.0,420883.0
94,The Big Lebowski,1998,83,88.625,Joel Coen,"Jeff Bridges, John Goodman, Julianne Moore, Steve Buscemi","Jeff Bridges plays Jeff Lebowski who insists on being called ""the Dude,"" a laid-back, easygoing burnout who happens to have...",positive,46189568.0,Comedy,8.1,71.0,117.0,790544.0
95,It Happened One Night,1934,99,118.334,Frank Capra,"Claudette Colbert, Clark Gable, Walter Connolly, Roscoe Karns","In Frank Capra's acclaimed romantic comedy, spoiled heiress Ellie Andrews (Claudette Colbert) impetuously marries the scheming King Westley, leading her...",positive,2500000.0,Comedy,8.1,87.0,105.0,102251.0
96,Some Like It Hot,1959,94,100.371,Billy Wilder,"Tony Curtis, Jack Lemmon, Marilyn Monroe, George Raft","After witnessing a Mafia murder, slick saxophone player Joe (Tony Curtis) and his long-suffering buddy, Jerry (Jack Lemmon), improvise a...",positive,95697808.0,Comedy,8.2,98.0,121.0,262208.0
97,Monty Python and the Holy Grail,1975,97,103.951,Terry Gilliam,"Graham Chapman, John Cleese, Terry Gilliam, Eric Idle",A comedic send-up of the grim circumstances of the Middle Ages as told through the story of King Arthur and...,positive,5028948.0,Comedy,8.2,91.0,91.0,531498.0
